price_vnd,sim_number
5000000,0982180303
12000000,0777259777
5000000,0979291386
3000000,0923100700
500000,0836914886
500000,0889761080
3000000,0914709986
1000000,0377441974
1000000,0762599422
450000,0327595839
1000000,0983104604
500000,0926345363
500000,0925442007
450000,0377334988
450000,0332404969
3000000,0918642742
450000,0865463988
450000,0867016181
5000000,0773968986
450000,0345415989
1000000,0368534974
3000000,0567112015
3000000,0948550909
69900000,0586838383
500000,0877212129
3000000,0888681010
1000000,0364491168
3000000,0866036669
1000000,0762699022
11325000,0828593678
1000000,0858284684
500000,0777998193
13125000,0934325353
3000000,0888910686
12000000,0961268679
1000000,0799164321
12000000,0921379479
10000000,0866456779
450000,0865123274
450000,0333073799
5000000,0783886799
3000000,0934281993
5000000,0392601994
12000000,0763131131
500000,0964399858
888000000,0967856789
5000000,0825678912
450000,0344270908
450000,0862915191
450000,0984626764
5000000,0705644666
3000000,0981955929
500000,0368682787
5000000,0967762001
12000000,0966831179
450000,0865567561
15000000,0826101983
55000000,0819697777
5000000,0909860339
450000,0332521539
500000,0523302004
3000000,0853882889
1000000,0799191765
1000000,0762612112
450000,0865535387
3000000,0931365178
450000,0368983466
500000,0931320631
1000000,0975126633
450000,0865930110
10000000,0833363979
1000000,0763153432
500000,0926699681
5000000,0937848838
500000,0899625879
450000,0866388118
450000,0974192440
11325000,0849489678
450000,0337913086
3000000,0989977796
1000000,0705468876
1000000,0946830159
3000000,0398789386
450000,0343881566
450000,0973491881
450000,0334191178
5000000,0908338679
3000000,0846661668
3000000,0879263668
3000000,0974871000
3000000,0932157700
1000000,0944361838
12000000,0818868186
3000000,0922683879
1000000,0945575695
1000000,0985463788
5000000,0983199977
3000000,0779309889
500000,0879283738
500000,0383088227
1000000,0889676125
450000,0343034689
3000000,0353622626
450000,0971822772
13500000,0789999904
500000,0879765511
5000000,0566883968
500000,0336355996
1000000,0962853328
450000,0989724441
1000000,0934240514
450000,0865680499
450000,0333651345
5000000,0966660243
1000000,0976651545
1000000,0778524321
3000000,0968029179
450000,0865218189
5000000,0373737346
450000,0325912088
450000,0343443539
11325000,0825548678
1000000,0799022533
450000,0339035886
3000000,0902110539
500000,0356989095
1000000,0816453555
500000,0909084897
125000000,0768008888
450000,0335777050
450000,0332995839
1000000,0705989981
500000,0799141406
3000000,0844474744
500000,0367148586
5000000,0938100303
1000000,0762547123
5000000,0939134678
1000000,0949005491
3000000,0913330053
500000,0879286396
500000,0964641913
3000000,0706730666
450000,0862898469
3000000,0818005369
12500000,0925867968
5000000,0968682204
500000,0941598539
450000,0329436739
120000000,0798787878
3000000,0382866586
450000,0336021002
3000000,0366684866
500000,0814129935
450000,0865226079
500000,0357926799
5000000,0832907907
11325000,0858637678
450000,0379192879
1000000,0773327333
450000,0334150780
10600000,0777777524
500000,0325818424
3000000,0776009922
1000000,0328992090
1000000,0888151747
66000000,0855025555
1000000,0329650022
1000000,0702666433
500000,0963692861
1000000,0948687569
5000000,0378938889
500000,0886853599
1000000,0947820064
450000,0343710168
5000000,0869669858
1000000,0762503003
500000,0967388804
450000,0334011388
50000000,0763986666
450000,0343761339
13000000,0707867999
1000000,0812259696
10000000,0969151996
1000000,0931325066
450000,0332040739
3000000,0568569579
450000,0332160170
1000000,0782799110
500000,0396837395
500000,0877996228
3000000,0369010110
12000000,0909386336
1000000,0764266234
1000000,0708141941
10000000,0865559889
3000000,0926929679
450000,0865870487
1000000,0762635012
450000,0357453663
3000000,0776666012
13000000,0929999980
450000,0865982808
1000000,0889807764
10000000,0962122003
500000,0932342566
450000,0375983889
500000,0987021694
5000000,0911392006
5000000,0866809868
1000000,0942291334
450000,0326031881
450000,0358015139
1000000,0708149749
3000000,0904612018
14000000,0922670888
1000000,0705499210
1000000,0353355878
500000,0977058535
500000,0877120385
1000000,0996931997
450000,0972996430
500000,0988653809
13500000,0708770777
3000000,0936255535
1000000,0708044833
1000000,0776271571
5000000,0913951102
5000000,0888883994
3000000,0869867222
3000000,0853101818
3000000,0936589839
500000,0376642051
500000,0927128808
170000000,0774888999
3000000,0815249888
450000,0329546679
450000,0867000824
1000000,0834567327
5000000,0819938899
1000000,0941513716
500000,0925856949
450000,0865488439
1000000,0795736734
5000000,0862666693
250000,0961542659
450000,0865950350
58000000,0792567777
450000,0375856899
1000000,0945649895
3000000,0899786788
450000,0343767566
500000,0879929039
1000000,0762692698
1000000,0869939232
5000000,0355805580
3000000,0889555891
3000000,0962515855
1000000,0763676276
500000,0943591385
1000000,0799122331
3000000,0901858468
13000000,0865277979
1000000,0776255600
3000000,0949690979
3000000,0929999895
450000,0373262016
500000,0877150206
3000000,0878657979
450000,0329266675
500000,0814437492
1000000,0702717712
5000000,0765924567
500000,0898081708
500000,0974331130
1000000,0946685419
5000000,0799338979
13600000,0788888187
105000000,0823282828
5000000,0912744868
1000000,0763653345
1000000,0799083654
1000000,0948258426
1000000,0705987575
1000000,0762754343
450000,0343060983
450000,0983464560
1000000,0923823403
1000000,0942542082
450000,0369060287
450000,0336230293
3000000,0886090991
450000,0344040966
1000000,0814527676
3000000,0931485456
1000000,0763757756
500000,0798942968
500000,0972286538
5000000,0919919691
450000,0334100805
1000000,0947710930
1000000,0708199455
450000,0332071139
500000,0965839352
96000000,0986866969
450000,0349047586
1000000,0776222629
5000000,0818636336
450000,0329756839
3000000,0899029333
10000000,0901616866
500000,0981963100
450000,0343207368
1000000,0886789264
500000,0888568202
1000000,0763511566
450000,0353095399
5000000,0703012567
50000000,0901266366
83000000,0353629999
5000000,0918354789
500000,0877157166
13500000,0566622622
3000000,0345393879
12000000,0356987888
1000000,0932365543
3000000,0927911984
1000000,0763069944
5000000,0988857785
50000000,0967333366
12000000,0889616886
500000,0586212004
1000000,0964090771
3000000,0979073599
5000000,0773818188
3000000,0964582022
450000,0385734286
3000000,0966290929
500000,0832133234
5000000,0855020292
11325000,0825071678
1000000,0945820990
10500000,0768167979
450000,0334250440
14460000,0703398398
450000,0335492679
1000000,0763578078
450000,0344092568
1000000,0763624622
13000000,0876012888
450000,0335174639
99000000,0913118866
5000000,0921913777
5000000,0968088286
10000000,0366666589
12000000,0912992626
5000000,0902727997
450000,0329647539
1000000,0708188277
1000000,0795689687
450000,0327043689
10000000,0777005000
13000000,0979581986
500000,0922742179
50000000,0374006789
450000,0985424561
450000,0374512039
500000,0925878086
5000000,0938037678
69000000,0988585588
10000000,0352501888
500000,0927510586
3000000,0917087939
3000000,0837279579
12000000,0345678201
500000,0849473886
500000,0907795806
450000,0334001879
70000000,0996575757
450000,0327210308
1000000,0902206266
3000000,0772801666
500000,0985464518
3000000,0702463535
450000,0971878930
500000,0965402627
500000,0569220168
500000,0586282004
11500000,0829888800
100000000,0788658888
5000000,0794331333
500000,0586391995
3000000,0389662255
5000000,0934224411
1000000,0762655166
1000000,0795622811
450000,0379886039
500000,0848841113
5000000,0762287878
500000,0961159318
5000000,0965595579
500000,0941592269
500000,0877110782
3000000,0929292572
450000,0327385399
450000,0346495468
1000000,0765189123
12000000,0975996399
5000000,0783827999
11325000,0825287678
5000000,0792573555
399000,0356697238
500000,0902466818
1000000,0763506206
1000000,0763506006
5000000,0844116777
3000000,0767666630
5000000,0862866839
1000000,0903145881
500000,0944914791
5000000,0769210555
1000000,0708075123
3000000,0971066116
450000,0329367439
450000,0348066286
450000,0866512362
3000000,0889555962
5000000,0336358668
450000,0332917466
1000000,0903265289
500000,0942971486
76500000,0398759999
450000,0343207889
168000000,0988797989
5000000,0898682008
3000000,0868492007
500000,0879818262
10300000,0888969303
450000,0985345763
1000000,0782795432
5000000,0853110789
5000000,0332031234
450000,0862897894
5000000,0946725777
450000,0383010698
12000000,0993889989
3000000,0933363318
500000,0784912968
1000000,0941012390
450000,0862979569
1000000,0372781172
450000,0343758139
5000000,0827150150
450000,0343611286
450000,0971776937
1000000,0823121567
10000000,0819888828
450000,0865006189
450000,0356821771
3000000,0869611566
5000000,0779995979
11325000,0826064678
450000,0378073799
450000,0337482799
5000000,0847080847
500000,0971016380
5000000,0971962018
500000,0329632486
500000,0916319656
450000,0984550549
50000000,0355555522
1000000,0372591048
1000000,0947964758
500000,0857178986
3000000,0969591279
1000000,0762681967
3000000,0989242233
1000000,0888898100
450000,0343710268
450000,0333184889
1000000,0705988677
1000000,0762782582
3000000,0797868607
450000,0326310178
450000,0334478039
450000,0344071274
450000,0327806239
1000000,0763639632
12000000,0924072008
1000000,0886514089
1000000,0366766737
450000,0345840990
1000000,0909108936
450000,0363147776
12800000,0836397879
5000000,0357788996
500000,0967089194
450000,0328723739
3000000,0988090375
10000000,0382937979
500000,0879591679
5000000,0325999268
3000000,0943471985
450000,0973277714
500000,0869376334
500000,0879286338
1000000,0795600399
3000000,0888821568
1000000,0799084094
3000000,0814909192
1000000,0773344955
500000,0877331107
1000000,0961767987
450000,0865380079
1000000,0901151448
139000000,0962826868
500000,0905563617
500000,0928168185
1000000,0948036493
1000000,0918518007
500000,0877107755
11325000,0849982678
500000,0905154752
450000,0327260182
1000000,0708144711
450000,0348865039
450000,0866149068
500000,0345797242
60000000,0377803778
800000000,0978336061
55000000,0568448888
3000000,0898693838
5000000,0913242678
450000,0326493444
450000,0866123402
450000,0974824987
3000000,0395929166
450000,0334637039
450000,0326433966
1000000,0913707701
1000000,0795759678
1000000,0798184488
1000000,0763752756
500000,0879769123
3000000,0839883777
1000000,0949150906
500000,0784401333
12500000,0971331818
450000,0986422742
3000000,0762037879
450000,0865387486
3000000,0914372012
450000,0372657679
450000,0866375707
1000000,0974333659
11500000,0922954888
450000,0989084443
3000000,0386308777
3000000,0327112030
500000,0909723094
10000000,0812898689
1000000,0705964543
500000,0948666541
500000,0835683538
5000000,0772949969
1000000,0942237737
500000,0326539669
1000000,0702651975
10000000,0703663888
12000000,0909138118
90000000,0931310000
1000000,0921787611
1000000,0945516881
3000000,0767463999
1000000,0567159168
5000000,0828353739
3000000,0966759123
5000000,0967462008
3000000,0932662010
1000000,0334598768
1000000,0996942004
1000000,0382886697
450000,0332167699
12900000,0589717171
450000,0329600027
11325000,0842743678
450000,0335018439
3000000,0886491989
450000,0343011172
3000000,0926627879
450000,0329341977
450000,0333784966
1000000,0826696079
3000000,0397027555
450000,0326402662
450000,0332455186
3000000,0855215521
450000,0354880969
500000,0974309441
450000,0867005305
12000000,0827366868
500000,0877150992
1000000,0963169692
3000000,0824221368
3000000,0901812016
12000000,0901198889
450000,0326310498
500000,0879610889
1000000,0889893962
13000000,0854236999
12000000,0394949474
10000000,0383306777
5000000,0567567839
5000000,0888838836
500000,0961889267
13600000,0785987789
1000000,0812354565
450000,0866181469
5000000,0788888573
1000000,0947974651
12500000,0965555373
5000000,0896669398
450000,0983979817
450000,0334850386
5000000,0814373373
450000,0327022206
500000,0357669477
3000000,0965044368
500000,0941592469
5000000,0832172737
5000000,0977776526
450000,0343181175
450000,0327171274
450000,0326714686
450000,0332492839
5000000,0365369456
450000,0344080985
5000000,0926147555
13000000,0708728292
500000,0945327996
1000000,0949520502
5000000,0337875787
1000000,0886674561
5000000,0938136464
3000000,0814212428
5000000,0866892889
450000,0329417227
12900000,0923053999
500000,0877180709
3000000,0582737222
3000000,0972662959
3000000,0812595789
3000000,0947889179
12000000,0372111000
3000000,0785035268
1000000,0941522660
3000000,0836511311
1000000,0763100799
500000,0973294746
3000000,0909210384
5000000,0869994445
500000,0367950779
500000,0889247166
1000000,0766023399
450000,0333844386
500000,0879286993
450000,0335944491
1000000,0889712941
500000,0783923353
12000000,0948246468
1000000,0565378388
450000,0344615456
450000,0865742348
13000000,0798451111
3000000,0799692468
3000000,0839944499
500000,0817242886
3000000,0393363699
5000000,0856686996
900000000,0966098906
11700000,0993939494
450000,0347999087
1000000,0935743663
13000000,0766204444
5000000,0786508555
1000000,0947185457
500000,0888503589
10000000,0399859666
450000,0333687299
1000000,0944863672
450000,0867012489
500000,0934187966
50000000,0777779339
500000,0877113307
450000,0866402440
500000,0965068758
10000000,0935558181
500000,0977938069
5000000,0839980980
15000000,0902020262
5000000,0342271990
500000,0705429992
3000000,0766797985
1000000,0353148998
500000,0387424257
12000000,0847797888
5000000,0909098914
12800000,0853196969
500000,0877998874
450000,0344052882
450000,0865210876
500000,0326249593
3000000,0823928686
1000000,0981718798
450000,0865923922
1000000,0926340579
450000,0343281075
10500000,0901902907
500000,0904361039
12000000,0912788979
450000,0335480770
450000,0862981469
1000000,0763615353
450000,0343627339
5000000,0912288345
5000000,0915818787
1000000,0795671571
450000,0328050495
3000000,0911110497
450000,0342203773
5000000,0842822866
3000000,0914340004
3000000,0938470444
450000,0862974739
450000,0972283421
179000000,0775889999
450000,0866236079
1000000,0909609163
15000000,0888133579
5000000,0962896399
3000000,0796272728
1000000,0909265075
1000000,0909263650
1000000,0946646517
3000000,0944344568
5000000,0938451997
3000000,0886457333
500000,0869328441
1000000,0823548555
1000000,0703136567
450000,0332948968
3000000,0918911386
10000000,0783988899
500000,0823920345
3000000,0986783210
15000000,0816111984
3000000,0931087668
450000,0372631973
1000000,0708031931
460000000,0941789789
3000000,0794067879
10000000,0856138139
66000000,0981288388
5000000,0333868880
50000000,0772007777
450000,0329591266
450000,0369319994
450000,0325666590
1000000,0932224755
500000,0961411395
14000000,0566666612
11325000,0826514678
500000,0585234538
400000000,0326456789
1000000,0834772872
1000000,0941671220
450000,0332578739
3000000,0366863966
450000,0332271739
3000000,0834268222
12000000,0398555567
12500000,0357055055
450000,0376200786
3000000,0949058383
3000000,0917009559
450000,0985965684
11050000,0922178279
1000000,0763070076
450000,0981534517
450000,0329525386
1000000,0936889906
5000000,0966582528
5000000,0372171986
500000,0936007522
10000000,0886401999
1000000,0763602020
1000000,0869877383
3000000,0767306688
450000,0865263265
79000000,0392000777
3000000,0776002000
1000000,0763022654
1000000,0948859713
1000000,0705940942
3000000,0396636669
500000,0907870180
3000000,0706076700
12000000,0902021994
450000,0343160472
450000,0865095879
78000000,0788479999
1000000,0941969642
3000000,0765626676
3000000,0849920666
450000,0349855466
3000000,0941608386
5000000,0969123258
500000,0877151293
500000,0877994579
12000000,0385779668
500000,0879928079
3000000,0936678239
500000,0337035996
1000000,0943889023
450000,0326758288
500000,0877115879
12200000,0982499889
3000000,0901845599
1000000,0898036060
500000,0904465828
3000000,0967899010
500000,0814616486
3000000,0762079089
500000,0877330332
500000,0373030517
450000,0336052679
3000000,0901452002
10000000,0913137776
3000000,0356886879
1000000,0945883215
12000000,0938568268
5000000,0898232789
10000000,0362396839
5000000,0376356595
139000000,0969044444
450000,0328720399
12000000,0826071983
11325000,0827764678
450000,0333488802
450000,0343180966
10300000,0888862962
3000000,0703696669
450000,0327801939
3000000,0372155556
1000000,0941088861
450000,0377107239
500000,0978440901
500000,0911691332
450000,0342952882
5000000,0869366266
3000000,0568686989
10000000,0889899969
5000000,0395888851
60000000,0348097777
500000,0963875212
50000000,0909999700
13300000,0792959697
12000000,0921111989
500000,0587262005
3000000,0945761997
500000,0358818982
1000000,0795271102
450000,0329240196
5000000,0862234586
1000000,0593728989
1000000,0705910918
1000000,0375099978
1000000,0925270384
1000000,0898319811
1000000,0763627527
3000000,0901826111
500000,0877119924
450000,0357376479
450000,0334312439
500000,0928107786
1000000,0942568253
3000000,0931111892
450000,0334996539
1000000,0889893950
11325000,0813251678
10000000,0333334922
450000,0989567065
3000000,0788891986
12000000,0342111000
1000000,0763000422
500000,0879882679
450000,0327445586
5000000,0789560666
450000,0343260609
450000,0989258794
11325000,0829647678
1000000,0366234679
3000000,0969231236
500000,0971870397
1000000,0965700885
1000000,0942110599
3000000,0372833789
10000000,0889635678
3000000,0907571688
289000000,0899997999
1000000,0705635735
5000000,0396430999
1000000,0854212444
500000,0763396566
3000000,0901373663
5000000,0366262679
1000000,0766646810
5000000,0854997779
3000000,0825004666
500000,0869995182
3000000,0906649469
3000000,0819186777
500000,0931248113
3000000,0765226969
5000000,0842888186
500000,0931806244
450000,0348396486
1000000,0942983573
450000,0865489248
1000000,0942770927
12000000,0981979239
1000000,0942631197
1000000,0943821288
3000000,0965063879
450000,0865425179
10000000,0845678946
3000000,0902757939
500000,0912128408
3000000,0388926777
1000000,0325601964
130000000,0787558888
500000,0877108880
450000,0335149699
450000,0334650799
450000,0348760110
5000000,0767848886
500000,0919634068
450000,0866243336
10000000,0855121121
450000,0984120376
1000000,0886583958
11325000,0845237678
11100000,0763393839
1000000,0826957234
5000000,0786101214
5000000,0942262229
1000000,0941355154
1000000,0762668665
5000000,0358732732
5000000,0924099333
500000,0909238840
500000,0971139484
450000,0366120592
3000000,0908779796
1000000,0772212537
450000,0343856199
500000,0877996614
11325000,0818709678
3000000,0924812000
5000000,0826269777
1000000,0763055866
3000000,0899148866
1000000,0913332739
12000000,0919296299
450000,0334483799
1000000,0962176116
10000000,0969969226
500000,0879401266
12000000,0969661868
450000,0338144989
500000,0814900755
1000000,0865844479
450000,0329030985
1000000,0708111033
3000000,0567656568
10000000,0906862525
450000,0329258166
12000000,0924092003
450000,0372090893
500000,0966541291
12000000,0846111189
11325000,0826624678
3000000,0352465465
5000000,0948338979
1000000,0763055100
1000000,0708166122
14000000,0984568268
500000,0585962007
399000000,0902878888
89000000,0358292929
3000000,0932051881
3000000,0901727975
450000,0359081661
450000,0344492009
1000000,0935352351
5000000,0794730730
3000000,0837721970
500000,0904727366
500000,0886850699
450000,0329290302
450000,0336230206
450000,0383221294
450000,0332588499
500000,0939410729
1000000,0814599566
5000000,0777388881
5000000,0326022012
450000,0333895766
500000,0937382766
1000000,0762673073
1000000,0932070605
5000000,0989777890
500000,0965292216
3000000,0567373779
10000000,0783227799
450000,0336210604
1000000,0795684484
5000000,0988222987
450000,0344052379
5000000,0378791678
3000000,0902310839
3000000,0966857778
450000,0989857874
450000,0335029288
500000,0932462616
10000000,0333133398
3000000,0708760678
500000,0326102639
500000,0965811790
3000000,0938555514
500000,0961526319
500000,0583411441
5000000,0707779994
450000,0343470639
3000000,0933269567
450000,0336196339
500000,0879285686
5000000,0906945677
3000000,0912741379
450000,0329180675
5000000,0886326555
5000000,0375677222
5000000,0703070386
10000000,0899864999
3000000,0373669996
1000000,0966300236
1000000,0762566755
1000000,0762574571
500000,0909654471
5000000,0782322345
3000000,0817589777
450000,0344421661
450000,0346228579
3000000,0966826179
1000000,0705685695
1000000,0763743943
500000,0345782739
500000,0344379537
500000,0965824091
500000,0392717689
80000000,0852779779
500000,0963347590
5000000,0979072015
450000,0365189366
450000,0865067369
500000,0345169455
15000000,0935675656
5000000,0989342010
500000,0814410456
450000,0332449009
1000000,0909163897
450000,0343488568
450000,0343131001
450000,0327435039
52000000,0329161616
3000000,0965120210
1000000,0795683983
450000,0343877765
1000000,0889460113
5000000,0982262633
1000000,0932482003
10000000,0378787850
3000000,0983676675
450000,0862929593
450000,0334824239
500000,0961680498
450000,0982067844
500000,0921812286
55000000,0916989889
3000000,0335526879
500000,0869075422
3000000,0915262008
450000,0385901739
3000000,0976812022
500000,0383592379
10000000,0833777775
3000000,0888337838
1000000,0946287760
1000000,0866550118
3000000,0703128666
500000,0966963813
500000,0905803857
450000,0329171388
450000,0334011191
3000000,0888015559
500000,0339382566
3000000,0844467899
13800000,0852436868
450000,0865459099
3000000,0848916969
500000,0868930373
450000,0329972166
450000,0862950350
500000,0869378535
450000,0356029266
1000000,0942050763
1000000,0763020903
500000,0925970788
10000000,0898253939
3000000,0522461994
450000,0867011191
1000000,0946345569
450000,0334265879
3000000,0921411989
450000,0865987828
3000000,0971668885
3000000,0907362005
5000000,0377566568
1000000,0981526995
3000000,0855262866
500000,0912251390
1000000,0946203820
500000,0357371139
5000000,0938940990
5000000,0779333397
450000,0329512639
10300000,0888885518
1000000,0838430909
5000000,0822275222
3000000,0889899967
500000,0857501898
1000000,0888188437
500000,0815811422
1000000,0799000304
450000,0326555348
189000000,0909690969
500000,0962192161
1000000,0981463787
450000,0367842339
450000,0355795558
10300000,0888887178
5000000,0368686585
500000,0785942968
79000000,0926887888
179000000,0938866886
500000,0981432622
450000,0365247439
500000,0981765692
500000,0978849236
500000,0859006110
1000000,0702724722
450000,0343673588
3000000,0963484368
500000,0879882262
450000,0326527966
1000000,0942007663
500000,0971694320
12000000,0799304050
3000000,0929333626
5000000,0827441999
500000,0817122911
450000,0332913788
450000,0332925939
450000,0326017986
1000000,0817165234
10000000,0707107171
500000,0877002220
1000000,0889802405
3000000,0889886345
1000000,0812183444
3000000,0943581985
1000000,0795734034
500000,0813935154
125000000,0909286999
5000000,0981382013
1000000,0763764564
3000000,0908899931
450000,0862898900
1000000,0921939772
450000,0342992013
1000000,0945006407
450000,0343140406
13000000,0815305305
11000000,0826898968
500000,0979383485
1000000,0896528179
13000000,0795402222
1000000,0343061295
1000000,0898623432
3000000,0365330777
450000,0865887899
1000000,0762615415
10000000,0778667866
500000,0877130179
3000000,0906080817
5000000,0842390666
450000,0334448066
1000000,0773323765
10000000,0832870000
12000000,0835212888
450000,0327260205
1000000,0943665201
450000,0865204539
500000,0969873183
5000000,0823250666
450000,0335318179
81500000,0823616666
1000000,0904976376
450000,0359395388
500000,0866103603
1000000,0762588711
500000,0877151156
3000000,0972151180
10000000,0392621368
450000,0347867688
3000000,0777954333
10000000,0919071996
450000,0975444961
500000,0967304311
500000,0817733077
1000000,0948930769
11000000,0336353739
1000000,0877909092
500000,0369105166
500000,0915969204
5000000,0342681998
1000000,0849782333
10000000,0904102026
450000,0355175838
1000000,0708196012
500000,0377881767
500000,0866900518
5000000,0854851851
11000000,0708014888
11325000,0819324678
14000000,0975829789
12000000,0379953939
10000000,0789363979
450000,0334766939
500000,0905062648
5000000,0829898949
500000,0766545515
11325000,0852974678
450000,0342847771
14000000,0856197979
5000000,0393989858
1000000,0763755122
1000000,0763751969
145000000,0972468468
450000,0862919130
10500000,0987549555
5000000,0981352003
500000,0877156286
450000,0343366630
3000000,0916224424
5000000,0868191618
3000000,0767971666
1000000,0763136343
500000,0879933299
450000,0329272539
5000000,0844683456
450000,0332894699
450000,0332293199
1000000,0795673273
450000,0865202038
5000000,0787331986
450000,0862917466
10000000,0979592003
5000000,0828682004
3000000,0772391993
500000,0523351978
5000000,0782222261
5000000,0965552599
10000000,0981332005
12000000,0888858368
155000000,0888556677
500000,0853880776
5000000,0333868169
5000000,0981886786
10800000,0858831999
3000000,0929292031
3000000,0919008277
11111000,0383439439
3000000,0785173968
3000000,0938603223
1000000,0935110694
900000000,0969663192
3000000,0899997337
500000,0934129166
1000000,0702755753
1000000,0347891963
450000,0335096345
1000000,0799122744
12000000,0829991980
450000,0334220394
12000000,0912052002
1000000,0763547012
1000000,0702777322
1000000,0762598012
12000000,0888483456
5000000,0989828381
450000,0375930110
500000,0888039137
3000000,0567365668
50000000,0835111555
500000,0878515159
1000000,0763102003
500000,0347844114
1000000,0836728444
500000,0879488855
5000000,0779288799
1000000,0928260880
68800000,0788888338
500000,0905568059
14000000,0343828686
3000000,0798668844
3000000,0889561234
450000,0335283234
3000000,0969274668
500000,0879198285
3000000,0815888968
5000000,0582232333
1000000,0763188939
5000000,0398698567
3000000,0889366568
10800000,0784880000
3000000,0564983999
1000000,0889651882
450000,0359688166
1000000,0702777557
10000000,0817891386
3000000,0582328555
3000000,0705515355
12800000,0399618899
450000,0334389039
5000000,0976166279
68000000,0766689689
12000000,0868685353
500000,0877991163
12000000,0345651222
1000000,0926363926
1000000,0708055059
3000000,0899883386
3000000,0901261678
5000000,0766302555
11325000,0842403678
450000,0329585039
450000,0327260781
5000000,0777528886
450000,0327674639
450000,0343904199
500000,0941922066
500000,0344603009
500000,0798065086
1000000,0795731977
450000,0344245968
450000,0343301971
5000000,0328866988
450000,0363355775
450000,0866126664
10000000,0869979799
500000,0978709884
3000000,0793836339
1000000,0708173873
11325000,0859027678
12800000,0853038686
3000000,0928616769
5000000,0923181616
450000,0866818378
450000,0866017151
450000,0328050492
